"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1820","Unsuccessfully login with username: ""tomsmith"" and password: ""SuperSecretPassword""","webkit","Fri Jun 06 10:04:35 UTC 2025","passed","Fri Jun 06 10:04:36 UTC 2025","Login Suite","login.spec.ts","",""
"","1225","Unsuccessfully login with username: ""tomsmith"" and password: """"","firefox","Fri Jun 06 10:04:24 UTC 2025","passed","Fri Jun 06 10:04:25 UTC 2025","Login Suite","login.spec.ts","",""
"","1172","Unsuccessfully login with username: """" and password: ""SuperSecretPassword!""","firefox","Fri Jun 06 10:04:23 UTC 2025","passed","Fri Jun 06 10:04:24 UTC 2025","Login Suite","login.spec.ts","",""
"","2349","User is navigated to the Login page","firefox","Fri Jun 06 10:04:18 UTC 2025","passed","Fri Jun 06 10:04:20 UTC 2025","Login Suite","login.spec.ts","",""
"","924","Successful login","chromium","Fri Jun 06 10:04:16 UTC 2025","passed","Fri Jun 06 10:04:17 UTC 2025","Login Suite","login.spec.ts","",""
"","978","Unsuccessfully login with username: ""tomsmith"" and password: """"","chromium","Fri Jun 06 10:04:15 UTC 2025","passed","Fri Jun 06 10:04:16 UTC 2025","Login Suite","login.spec.ts","",""
"","3317","User is navigated to the Login page","webkit","Fri Jun 06 10:04:28 UTC 2025","passed","Fri Jun 06 10:04:31 UTC 2025","Login Suite","login.spec.ts","",""
"","1844","Successful login","webkit","Fri Jun 06 10:04:40 UTC 2025","passed","Fri Jun 06 10:04:42 UTC 2025","Login Suite","login.spec.ts","",""
"","1224","Unsuccessfully login with username: ""tomsmit"" and password: ""SuperSecretPassword!""","firefox","Fri Jun 06 10:04:20 UTC 2025","passed","Fri Jun 06 10:04:22 UTC 2025","Login Suite","login.spec.ts","",""
"","1834","Unsuccessfully login with username: """" and password: ""SuperSecretPassword!""","webkit","Fri Jun 06 10:04:36 UTC 2025","passed","Fri Jun 06 10:04:38 UTC 2025","Login Suite","login.spec.ts","",""
"","2569","Unsuccessfully login with username: ""tomsmit"" and password: ""SuperSecretPassword!""","webkit","Fri Jun 06 10:04:32 UTC 2025","passed","Fri Jun 06 10:04:35 UTC 2025","Login Suite","login.spec.ts","",""
"","1359","Successful login","firefox","Fri Jun 06 10:04:25 UTC 2025","passed","Fri Jun 06 10:04:27 UTC 2025","Login Suite","login.spec.ts","",""
"","959","Unsuccessfully login with username: ""tomsmith"" and password: ""SuperSecretPassword""","chromium","Fri Jun 06 10:04:13 UTC 2025","passed","Fri Jun 06 10:04:14 UTC 2025","Login Suite","login.spec.ts","",""
"","915","Unsuccessfully login with username: """" and password: ""SuperSecretPassword!""","chromium","Fri Jun 06 10:04:14 UTC 2025","passed","Fri Jun 06 10:04:15 UTC 2025","Login Suite","login.spec.ts","",""
"","1219","Unsuccessfully login with username: ""tomsmith"" and password: ""SuperSecretPassword""","firefox","Fri Jun 06 10:04:22 UTC 2025","passed","Fri Jun 06 10:04:23 UTC 2025","Login Suite","login.spec.ts","",""
"","920","Unsuccessfully login with username: ""tomsmit"" and password: ""SuperSecretPassword!""","chromium","Fri Jun 06 10:04:12 UTC 2025","passed","Fri Jun 06 10:04:13 UTC 2025","Login Suite","login.spec.ts","",""
"","795","User is navigated to the Login page","chromium","Fri Jun 06 10:04:11 UTC 2025","passed","Fri Jun 06 10:04:12 UTC 2025","Login Suite","login.spec.ts","",""
"","1825","Unsuccessfully login with username: ""tomsmith"" and password: """"","webkit","Fri Jun 06 10:04:38 UTC 2025","passed","Fri Jun 06 10:04:40 UTC 2025","Login Suite","login.spec.ts","",""
